iter	Passed	Remaining
0	116	116462
1	117	58505
2	117	39147
3	118	29465
4	118	23671
5	119	19810
6	120	17061
7	120	14986
8	121	13378
9	122	12085
10	122	11027
11	123	10145
12	123	9399
13	124	8758
14	124	8203
15	125	7720
16	126	7292
17	126	6912
18	127	6571
19	127	6266
20	128	5989
21	129	5739
22	129	5509
23	130	5300
24	130	5105
25	131	4925
26	132	4759
27	132	4605
28	133	4460
29	133	4327
30	134	4201
31	134	4083
32	135	3972
33	136	3867
34	136	3769
35	137	3677
36	137	3590
37	138	3506
38	139	3427
39	139	3352
40	140	3279
41	140	3210
42	141	3144
43	141	3082
44	142	3024
45	143	2967
46	143	2912
47	144	2861
48	144	2811
49	145	2764
50	146	2720
51	146	2677
52	147	2634
53	148	2593
54	148	2554
55	149	2515
56	149	2478
57	150	2442
58	151	2408
59	151	2375
60	152	2341
61	152	2309
62	153	2278
63	153	2248
64	154	2220
65	154	2191
66	155	2164
67	155	2137
68	156	2111
69	157	2086
70	157	2061
71	158	2037
72	158	2014
73	159	1992
74	159	1970
75	160	1949
76	160	1929
77	161	1909
78	162	1889
79	162	1870
80	163	1850
81	163	1831
82	163	1811
83	164	1795
84	165	1778
85	165	1761
86	166	1744
87	166	1728
88	167	1713
89	167	1697
90	168	1682
91	168	1667
92	169	1653
93	170	1638
94	170	1624
95	171	1611
96	171	1598
97	172	1584
98	172	1572
99	173	1560
100	173	1547
101	174	1535
102	175	1524
103	175	1513
104	176	1501
105	176	1491
106	177	1480
107	177	1470
108	178	1459
109	179	1449
110	179	1438
111	180	1428
112	180	1418
113	181	1408
114	181	1399
115	182	1389
116	182	1379
117	183	1370
118	183	1361
119	184	1353
120	185	1344
121	185	1335
122	186	1327
123	186	1319
124	187	1310
125	187	1302
126	188	1293
127	188	1285
128	189	1278
129	189	1270
130	190	1262
131	190	1255
132	191	1247
133	191	1240
134	192	1233
135	193	1226
136	193	1219
137	194	1212
138	194	1206
139	195	1199
140	195	1193
141	196	1185
142	196	1179
143	197	1173
144	198	1167
145	198	1161
146	199	1155
147	199	1149
148	200	1142
149	200	1137
150	201	1132
151	201	1126
152	202	1120
153	202	1114
154	203	1108
155	203	1103
156	204	1098
157	205	1092
158	205	1087
159	206	1082
160	206	1076
161	207	1070
162	207	1065
163	208	1060
164	208	1056
165	209	1051
166	209	1046
167	210	1042
168	211	1037
169	211	1033
170	212	1028
171	212	1024
172	213	1019
173	213	1014
174	214	1010
175	214	1006
176	215	1001
177	215	997
178	216	992
179	217	988
180	217	984
181	218	980
182	218	976
183	219	972
184	219	968
185	220	964
186	220	960
187	221	956
188	222	952
189	222	948
190	223	945
191	223	941
192	224	937
193	224	934
194	225	930
195	226	927
196	226	923
197	227	919
198	227	916
199	228	912
200	228	908
201	229	905
202	229	901
203	230	898
204	230	895
205	231	891
206	231	888
207	232	885
208	233	882
209	233	878
210	234	875
211	234	872
212	235	869
213	235	865
214	236	862
215	236	859
216	237	856
217	237	853
218	238	850
219	238	846
220	239	843
221	239	840
222	240	837
223	241	834
224	241	831
225	242	829
226	242	826
227	243	823
228	243	820
229	244	817
230	244	815
231	245	812
232	245	809
233	246	807
234	247	804
235	247	801
236	248	798
237	248	796
238	249	793
239	249	790
240	250	788
241	250	785
242	251	782
243	251	780
244	252	777
245	252	775
246	253	772
247	253	769
248	254	767
249	255	765
250	255	762
251	256	760
252	256	758
253	257	756
254	257	753
255	258	751
256	259	748
257	259	746
258	260	744
259	260	741
260	261	739
261	261	737
262	262	734
263	262	732
264	263	730
265	263	728
266	264	725
267	264	723
268	265	721
269	266	719
270	266	717
271	267	715
272	267	712
273	268	710
274	268	708
275	269	706
276	270	704
277	270	702
278	271	700
279	271	698
280	272	696
281	272	694
282	273	692
283	273	690
284	274	688
285	275	686
286	275	684
287	276	682
288	276	680
289	277	678
290	277	676
291	278	674
292	278	673
293	279	671
294	280	669
295	280	667
296	281	665
297	281	663
298	282	661
299	282	659
300	283	658
301	283	656
302	284	654
303	284	652
304	285	650
305	286	648
306	286	646
307	287	645
308	287	643
309	288	641
310	288	639
311	289	637
312	289	635
313	290	634
314	290	632
315	291	630
316	291	628
317	292	627
318	293	625
319	293	624
320	294	622
321	294	620
322	295	619
323	295	617
324	296	615
325	296	613
326	297	612
327	298	610
328	298	609
329	299	607
330	299	605
331	300	603
332	300	602
333	301	600
334	301	599
335	302	597
336	302	595
337	303	594
338	303	592
339	304	591
340	305	589
341	305	587
342	306	586
343	306	584
344	307	583
345	307	581
346	308	579
347	308	578
348	309	577
349	309	575
350	310	573
351	310	572
352	311	570
353	312	569
354	312	567
355	313	566
356	313	564
357	314	563
358	314	562
359	315	560
360	315	559
361	316	557
362	317	556
363	317	554
364	318	553
365	318	552
366	319	550
367	319	549
368	320	547
369	320	546
370	321	545
371	322	543
372	322	542
373	323	540
374	323	539
375	324	538
376	324	536
377	325	535
378	325	533
379	326	532
380	326	531
381	327	529
382	328	528
383	328	527
384	329	525
385	329	524
386	330	523
387	330	521
388	331	520
389	331	519
390	332	517
391	332	516
392	333	515
393	334	513
394	334	512
395	335	511
396	335	509
397	336	508
398	336	507
399	337	506
400	337	504
401	338	503
402	338	502
403	339	500
404	340	499
405	340	498
406	341	497
407	341	495
408	342	494
409	342	493
410	343	492
411	343	490
412	344	489
413	345	488
414	345	487
415	346	485
416	346	484
417	347	483
418	347	482
419	348	480
420	348	479
421	349	478
422	349	477
423	350	476
424	350	474
425	351	473
426	352	472
427	352	471
428	353	470
429	353	468
430	354	467
431	354	466
432	355	465
433	355	464
434	356	462
435	356	461
436	357	460
437	358	459
438	358	458
439	359	456
440	359	455
441	360	454
442	360	453
443	361	452
444	361	451
445	362	450
446	362	448
447	363	447
448	363	446
449	364	445
450	365	444
451	365	443
452	366	442
453	366	441
454	367	440
455	368	439
456	368	438
457	369	437
458	369	436
459	370	434
460	371	433
461	371	432
462	372	431
463	372	430
464	373	429
465	373	428
466	374	427
467	374	426
468	375	424
469	375	423
470	376	422
471	377	421
472	377	420
473	378	419
474	378	418
475	379	417
476	379	416
477	380	415
478	381	414
479	381	413
480	382	412
481	382	411
482	383	410
483	384	409
484	384	408
485	385	407
486	385	406
487	386	405
488	387	404
489	387	403
490	388	402
491	388	401
492	389	400
493	390	399
494	390	398
495	391	397
496	392	396
497	392	395
498	393	394
499	393	393
500	394	392
501	395	391
502	395	390
503	396	389
504	396	388
505	397	387
506	397	386
507	398	385
508	398	384
509	399	383
510	400	382
511	400	381
512	401	381
513	401	380
514	402	379
515	403	378
516	403	377
517	404	376
518	404	375
519	405	374
520	406	373
521	406	372
522	407	371
523	407	370
524	408	369
525	408	368
526	409	367
527	409	366
528	410	365
529	410	364
530	411	363
531	412	362
532	412	361
533	413	360
534	413	359
535	414	358
536	414	357
537	415	356
538	416	355
539	416	354
540	417	353
541	417	352
542	418	351
543	418	351
544	419	350
545	419	349
546	420	348
547	420	347
548	421	346
549	421	345
550	422	344
551	423	343
552	423	342
553	424	341
554	424	340
555	425	339
556	425	338
557	426	337
558	427	337
